project;bugtype;count;version
RoaringBitmap;JMH_LOOP_INSIDE_BENCHMARK;121;5d17c6a7ce623deb78b185efde598c8b9158aa5d
RoaringBitmap;JMH_STATE_FINAL_FIELD;436;5d17c6a7ce623deb78b185efde598c8b9158aa5d
RoaringBitmap;JMH_BENCHMARK_METHOD_FOUND;255;5d17c6a7ce623deb78b185efde598c8b9158aa5d
RoaringBitmap;JMH_IGNORED_METHOD_RETURN;32;5d17c6a7ce623deb78b185efde598c8b9158aa5d
RoaringBitmap;JMH_LOOP_INSIDE_BENCHMARK;121;5d17c6a7ce623deb78b185efde598c8b9158aa5d
rtree;JMH_BENCHMARK_METHOD_FOUND;42;5d17c6a7ce623deb78b185efde598c8b9158aa5d
rtree;JMH_IGNORED_METHOD_RETURN;1;5d17c6a7ce623deb78b185efde598c8b9158aa5d
rtree;JMH_STATE_FINAL_FIELD;27;5d17c6a7ce623deb78b185efde598c8b9158aa5d
commonmark-java;JMH_BENCHMARK_METHOD_FOUND;4;5d17c6a7ce623deb78b185efde598c8b9158aa5d
commonmark-java;JMH_STATE_FINAL_FIELD;19;5d17c6a7ce623deb78b185efde598c8b9158aa5d
hppc;JMH_BENCHMARK_METHOD_FOUND;5;5d17c6a7ce623deb78b185efde598c8b9158aa5d
hppc;JMH_BENCHMARKMODE_SINGLESHOT;3;5d17c6a7ce623deb78b185efde598c8b9158aa5d
hppc;JMH_STATE_FINAL_FIELD;24;5d17c6a7ce623deb78b185efde598c8b9158aa5d
es4j;JMH_BENCHMARK_METHOD_FOUND;4;5d17c6a7ce623deb78b185efde598c8b9158aa5d
es4j;JMH_IGNORED_METHOD_RETURN;3;5d17c6a7ce623deb78b185efde598c8b9158aa5d
es4j;JMH_STATE_FINAL_FIELD;1;5d17c6a7ce623deb78b185efde598c8b9158aa5d
es4j;JMH_LOOP_INSIDE_BENCHMARK;1;5d17c6a7ce623deb78b185efde598c8b9158aa5d
pgjdbc;JMH_BENCHMARKMODE_SINGLESHOT;1;5d17c6a7ce623deb78b185efde598c8b9158aa5d
pgjdbc;JMH_BENCHMARK_METHOD_FOUND;35;5d17c6a7ce623deb78b185efde598c8b9158aa5d
pgjdbc;JMH_STATE_FINAL_FIELD;95;5d17c6a7ce623deb78b185efde598c8b9158aa5d
pgjdbc;JMH_IGNORED_METHOD_RETURN;30;5d17c6a7ce623deb78b185efde598c8b9158aa5d
pgjdbc;JMH_NOTFORKED_BENCHMARK;2;5d17c6a7ce623deb78b185efde598c8b9158aa5d
